genome	organism	contigs	bases	tRNA	rRNA	CDS	tmRNA	repeat_region	OriginalName	Study_set	GenomeType	Sample_accession	Country	Continent	Host	Source	Disease	SamplingDate	Latitude	Longtitude	contigs_0_bp	contigs_1000_bp	contigs_5000_bp	contigs_10000_bp	contigs_25000_bp	contigs_50000_bp	Total_length_0_bp	Total_length_1000_bp	Total_length_5000_bp	Total_length_10000_bp	Total_length_25000_bp	Total_length_50000_bp	N_contigs	Largestcontig	Total_length	GC	N50	N75	L50	L75	Ns_per_100_kbp	Marker_lineage	Completeness	Contamination	Strain_heterogeneity	subdivision	lineages	letter	color
TL139C_2B	Bacteroides	53	5276079	66	5	4451	1	2	GCA_009025495.1_ASM902549v1_genomic.fna	Genbank	Isolate	SAMN12414701	USA	North America	Homo sapiens	NA	CF_Positive	2018	NA	NA	53	30	20	17	17	17	5276079	5260875	5240024	5218005	5218005	5218005	53	1226009	5276079	43.33	527045	346804	4	7	0	o__Bacteroidales_(UID2657)	99.26	0.12	0	1	lineage G	G	#68c668
TL139C_1B	Bacteroides	26	5253757	66	5	4443	1	2	GCA_007896795.1_ASM789679v1_genomic.fna	Genbank	Isolate	SAMN12414700	USA	North America	Homo sapiens	NA	CF_Positive	2018	NA	NA	26	20	17	15	15	15	5253757	5250021	5241205	5227020	5227020	5227020	26	1573133	5253757	43.32	600021	371413	3	6	0	o__Bacteroidales_(UID2657)	99.26	0.12	0	1	lineage G	G	#68c668
HAP130N_2B	Bacteroides	33	5217758	64	6	4345	1	1	GCA_007896745.1_ASM789674v1_genomic.fna	Genbank	Isolate	SAMN12414696	USA	North America	Homo sapiens	NA	CF_Positive	2018	NA	NA	33	26	21	18	17	16	5217758	5213298	5204181	5184488	5171100	5132467	32	987079	5217280	43.32	488392	282102	4	8	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
AD135F_2B	Bacteroides	101	5615258	64	6	4756	1	2	GCA_009024655.1_ASM902465v1_genomic.fna	Genbank	Isolate	SAMN12414678	USA	North America	Homo sapiens	NA	CF_Positive	2018	NA	NA	101	52	26	21	19	17	5615258	5583117	5534971	5502514	5467977	5384981	100	824632	5614970	43.36	405616	257437	5	9	0	o__Bacteroidales_(UID2657)	99.26	0.37	0	1	origin	origin	#c9c493
HAP130N_1B	Bacteroides	54	5235981	64	6	4356	1	1	GCA_009025695.1_ASM902569v1_genomic.fna	Genbank	Isolate	SAMN12414695	USA	North America	Homo sapiens	NA	CF_Positive	2018	NA	NA	54	26	19	17	16	15	5235981	5217124	5204348	5193396	5180008	5141375	54	987079	5235981	43.32	558150	319041	4	7	0	o__Bacteroidales_(UID2657)	99.26	0.4	33.33	1	origin	origin	#c9c493
HAP130N_3B	Bacteroides	42	5224890	64	6	4352	1	1	GCA_009025705.1_ASM902570v1_genomic.fna	Genbank	Isolate	SAMN12414697	USA	North America	Homo sapiens	NA	CF_Positive	2018	NA	NA	42	29	22	20	19	17	5224890	5216816	5204430	5193493	5180105	5113494	42	987079	5224890	43.33	479474	218271	4	9	0	o__Bacteroidales_(UID2657)	99.26	0.02	0	1	origin	origin	#c9c493
AD135F_1B	Bacteroides	83	5601691	64	6	4742	1	3	GCA_007896575.1_ASM789657v1_genomic.fna	Genbank	Isolate	SAMN12414677	USA	North America	Homo sapiens	NA	CF_Positive	2018	NA	NA	83	50	25	20	19	16	5601691	5577653	5532376	5499919	5478134	5352943	83	824632	5601691	43.35	415978	257437	5	9	0	o__Bacteroidales_(UID2657)	99.26	0.37	0	1	origin	origin	#c9c493
AD135F_3B	Bacteroides	81	5601214	64	6	4740	1	2	GCA_007896605.1_ASM789660v1_genomic.fna	Genbank	Isolate	SAMN12414679	USA	North America	Homo sapiens	NA	CF_Positive	2018	NA	NA	81	48	25	20	19	16	5601214	5577701	5533055	5500598	5478813	5360322	81	824632	5601214	43.35	415978	220887	5	9	0	o__Bacteroidales_(UID2657)	99.26	0.37	0	1	origin	origin	#c9c493
PP971	Bacteroides	79	5404901	57	6	4676	1	NA	GCA_013327835.1_ASM1332783v1_genomic.fna	Genbank	Isolate	SAMN15062758	India	Asia	Homo sapiens	pus	Intersphinteric_abscess	2019	12.9165	79.1325	79	67	50	44	34	29	5404901	5398306	5351241	5304498	5143937	4932715	73	656032	5402703	42.75	195123	107019	9	18	0	o__Bacteroidales_(UID2657)	98.3	4.8	0	1	lineage K	K	#7f74d2
P796	Bacteroides	1293	5644861	71	6	4621	1	NA	GCA_013327815.1_ASM1332781v1_genomic.fna	Genbank	Isolate	SAMN15062759	India	Asia	Homo sapiens	pus	Septic_arthritis	2019	12.9165	79.1325	1293	135	40	34	29	24	5644861	5266419	5126056	5086231	4984917	4784069	194	488093	5318861	43.7	235546	133322	8	15	0	o__Bacteroidales_(UID2657)	98.42	3.88	0	1	lineage K	K	#7f74d2
20200206	Bacteroides	102	5288074	60	3	4416	1	1	GCA_018786025.1_ASM1878602v1_genomic.fna	Genbank	Isolate	SAMN16483320	Spain	Europe	Homo sapiens	blood	Bacteremia	2020	37.11	3.36	111	107	91	76	55	36	5322165	5319493	5273953	5173588	4820433	4075553	110	319794	5321963	43.65	86235	55007	16	35	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
DCMOUH0017B	Bacteroides	3	5565806	73	18	4769	1	1	GCA_000710375.3_ASM71037v3_genomic.fna	Genbank	Isolate	SAMN02730070	Denmark	Europe	Homo sapiens	blood	bacterial_infection	06-Jun-06	55.3958	10.3886	3	3	3	2	2	2	5565806	5565806	5565806	5560212	5560212	5560212	3	5474541	5565806	43.4	5474541	5474541	1	1	0	o__Bacteroidales_(UID2657)	99.26	0	0	2	NA	NA	NA
mA9	Bacteroides	59	4995243	62	NA	4167	1	NA	GUT_GENOME066109	UHGG	MAG	SAMEA3493468	Bangladesh	Asia	Homo sapiens	faeces	underweight	06/01/2010	23.7	90.3667	59	59	55	52	42	35	4995243	4995243	4982294	4962564	4793331	4521218	59	263781	4995243	43.27	142502	79718	13	24	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
MM022_2	Bacteroides	442	5142846	62	1	4311	1	NA	GUT_GENOME243270	UHGG	MAG	SAMN04126139	Canada	North America	Homo sapiens	faeces	NA	01/02/2010	45.5	-73.63	442	442	314	179	38	5	5142846	5142846	4739236	3768182	1477821	357116	442	100384	5142846	43.26	17372	9685	91	189	0	o__Bacteroidales_(UID2657)	98.34	3.7	31.25	1	origin	origin	#c9c493
MM032_3	Bacteroides	363	5021357	56	1	4165	1	1	GUT_GENOME243466	UHGG	MAG	SAMN04126162	Canada	North America	Homo sapiens	faeces	NA	08/03/2010	45.51	-73.64	363	363	248	169	55	8	5021357	5021357	4656009	4085774	2301775	619881	363	131551	5021357	43.14	21550	12020	64	140	0	o__Bacteroidales_(UID2657)	96.84	1.8	28.57	1	lineage B	B	#895b39
hC11	Bacteroides	158	5114808	54	NA	4249	1	2	GUT_GENOME066042	UHGG	MAG	SAMEA3491287	Bangladesh	Asia	Homo sapiens	faeces	NA	07/04/2010	23.7	90.3667	158	158	146	120	73	29	5114808	5114808	5071194	4882540	4101772	2427066	158	156564	5114808	43.19	49612	28655	32	64	0	o__Bacteroidales_(UID2657)	98	1.29	80	1	lineage A	A	#cf453f
hC4	Bacteroides	85	4861258	57	NA	4085	1	1	GUT_GENOME066046	UHGG	MAG	SAMEA3491291	Bangladesh	Asia	Homo sapiens	faeces	NA	07/04/2010	23.7	90.3667	85	85	80	75	53	35	4861258	4861258	4844868	4808590	4442558	3770928	85	219970	4861258	43.22	102755	52836	16	33	0	o__Bacteroidales_(UID2657)	92.19	0	0	2	NA	NA	NA
MM060_2	Bacteroides	150	4991432	62	NA	4211	1	NA	GUT_GENOME243895	UHGG	MAG	SAMN04126235	Canada	North America	Homo sapiens	faeces	NA	21/06/2010	45.52	-73.65	150	150	126	108	73	35	4991432	4991432	4923878	4792743	4183227	2793777	150	223007	4991432	43.23	52057	35620	30	59	0	o__Bacteroidales_(UID2657)	97.77	0	0	1	origin	origin	#c9c493
3_F2	Bacteroides	56	4331686	44	NA	3560	1	NA	GUT_GENOME177485	UHGG	MAG	SAMN04436689	USA	North America	Homo sapiens	faeces	NA	27/06/2010	38.6387	-90.2663	56	56	54	51	49	35	4331686	4331686	4325371	4300649	4274000	3763294	56	231032	4331686	44.02	107376	71435	15	27	0	o__Bacteroidales_(UID2657)	92.19	0	0	1	lineage G	G	#68c668
3_E4	Bacteroides	189	4670446	45	1	3782	1	1	GUT_GENOME177219	UHGG	MAG	SAMN04436691	USA	North America	Homo sapiens	faeces	NA	01/07/2010	38.6385	-90.2661	189	189	154	120	72	21	4670446	4670446	4555413	4317803	3487168	1696198	189	202635	4670446	43.82	38870	24495	36	73	0	o__Bacteroidales_(UID2657)	97.03	0	0	1	lineage G	G	#68c668
3_E7	Bacteroides	196	4905927	47	NA	4070	1	2	GUT_GENOME176940	UHGG	MAG	SAMN04436696	USA	North America	Homo sapiens	faeces	NA	30/07/2010	38.6381	-90.2657	196	196	167	130	70	26	4905927	4905927	4804559	4543008	3572366	2028988	196	145935	4905927	43.67	41562	23335	36	75	0	o__Bacteroidales_(UID2657)	98.51	0	0	1	lineage G	G	#68c668
3_D6	Bacteroides	157	4271802	43	1	3441	1	NA	GUT_GENOME176513	UHGG	MAG	SAMN04436695	USA	North America	Homo sapiens	faeces	NA	02/08/2010	38.6376	-90.2652	157	157	140	116	65	18	4271802	4271802	4211987	4045489	3190481	1530324	157	181420	4271802	44.36	39393	24924	32	66	0	o__Bacteroidales_(UID2657)	91.82	0	0	1	lineage G	G	#68c668
Sample_082	Bacteroides	66	4791048	50	NA	3929	1	1	GUT_GENOME129185	UHGG	MAG	SAMN05414971	Mongolia	Asia	Homo sapiens	NA	NA	Oct-10	43.95	116.24	66	66	60	54	50	38	4791048	4791048	4772043	4731457	4660185	4215813	66	257783	4791048	43.56	120524	82656	16	29	0	o__Bacteroidales_(UID2657)	98.14	0	0	1	lineage G	G	#68c668
Sample_070	Bacteroides	181	4950031	54	NA	4042	1	1	GUT_GENOME181435	UHGG	MAG	SAMN05414959	Mongolia	Asia	Homo sapiens	NA	NA	Oct-10	43.95	116.12	181	181	156	122	76	29	4950031	4950031	4868261	4615357	3835869	2156369	181	156829	4950031	43.39	44326	28358	36	72	0	o__Bacteroidales_(UID2657)	97.41	0.74	0	1	lineage H	H	#38423f
Sample_084	Bacteroides	294	4960918	64	7	4039	1	1	GUT_GENOME222083	UHGG	MAG	SAMN05414973	China	Asia	Homo sapiens	NA	NA	Oct-10	43.95	116.26	294	294	170	132	65	24	4960918	4960918	4659534	4390126	3212712	1716779	294	121110	4960918	43.96	37109	19727	42	88	0	o__Bacteroidales_(UID2657)	92.86	4.49	26.09	1	lineage H	H	#38423f
Sample_093	Bacteroides	266	4796370	41	1	4037	1	NA	GUT_GENOME129524	UHGG	MAG	SAMN05414982	Mongolia	Asia	Homo sapiens	NA	NA	Oct-10	43.95	116.35	266	266	223	158	63	15	4796370	4796370	4654679	4163837	2650352	1076327	266	122424	4796370	43.34	27209	14958	54	113	0	o__Bacteroidales_(UID2657)	94.29	0.9	100	2	NA	NA	NA
MM093	Bacteroides	164	4634198	47	1	3745	NA	NA	GUT_GENOME244226	UHGG	MAG	SAMN04126290	Canada	North America	Homo sapiens	faeces	NA	17/02/2011	45.53	-73.66	164	164	136	108	69	27	4634198	4634198	4543885	4340525	3662474	2121479	164	150108	4634198	43.23	46594	27066	32	62	0	o__Bacteroidales_(UID2657)	94.35	2.26	45.45	1	origin	origin	#c9c493
4_F6	Bacteroides	63	5151622	56	NA	4291	1	1	GUT_GENOME176837	UHGG	MAG	SAMN04436768	USA	North America	Homo sapiens	faeces	NA	17-Mar-11	38.6379	-90.2655	63	63	62	59	52	33	5151622	5151622	5147242	5121382	5013568	4313079	63	399747	5151622	43.81	141391	66901	13	25	0	o__Bacteroidales_(UID2657)	95.17	0	0	1	lineage N	N	#b84ccb
4_F7	Bacteroides	53	4994111	47	NA	4112	1	1	GUT_GENOME176599	UHGG	MAG	SAMN04436769	USA	North America	Homo sapiens	faeces	NA	19-Mar-11	38.6378	-90.2654	53	53	53	52	41	29	4994111	4994111	4994111	4984121	4788642	4315117	53	463516	4994111	43.32	166334	84598	11	21	0	o__Bacteroidales_(UID2657)	96.28	0	0	1	lineage N	N	#b84ccb
4_E8	Bacteroides	86	5380262	46	1	4476	1	1	GUT_GENOME177020	UHGG	MAG	SAMN04436776	USA	North America	Homo sapiens	faeces	NA	25-Mar-11	38.6382	-90.2658	86	86	83	76	59	40	5380262	5380262	5371916	5315638	5019644	4320469	86	266688	5380262	43.52	101399	60540	18	35	0	o__Bacteroidales_(UID2657)	99.13	2.11	0	1	lineage N	N	#b84ccb
4_C8	Bacteroides	99	5039568	52	1	4112	1	1	GUT_GENOME176592	UHGG	MAG	SAMN04436770	USA	North America	Homo sapiens	faeces	NA	25-Mar-11	38.6377	-90.2653	99	99	88	84	57	37	5039568	5039568	5002172	4971792	4492993	3784102	99	219684	5039568	43.01	84734	50353	18	37	0	o__Bacteroidales_(UID2657)	98.88	0	0	1	lineage N	N	#b84ccb
4_C4	Bacteroides	71	5255631	54	1	4358	1	1	GUT_GENOME176475	UHGG	MAG	SAMN04436771	USA	North America	Homo sapiens	faeces	NA	27-Mar-11	38.6375	-90.2651	71	71	71	69	53	38	5255631	5255631	5255631	5240546	4945061	4371695	71	335246	5255631	43.5	113254	63964	15	31	0	o__Bacteroidales_(UID2657)	99.09	0	0	1	lineage N	N	#b84ccb
4_E4	Bacteroides	69	5136711	41	1	4207	1	1	GUT_GENOME177116	UHGG	MAG	SAMN04436777	USA	North America	Homo sapiens	faeces	NA	27-Mar-11	38.6383	-90.2659	69	69	66	60	41	30	5136711	5136711	5126098	5081382	4744504	4323229	69	446722	5136711	43.16	165342	71036	11	23	0	o__Bacteroidales_(UID2657)	97.83	0.46	50	1	lineage N	N	#b84ccb
4_G6	Bacteroides	61	4970701	49	NA	4110	1	1	GUT_GENOME176864	UHGG	MAG	SAMN04436772	USA	North America	Homo sapiens	faeces	NA	02/04/2011	38.638	-90.2656	61	61	58	55	46	34	4970701	4970701	4960078	4938826	4788208	4329475	61	321799	4970701	43.13	137340	77931	13	26	0	o__Bacteroidales_(UID2657)	95.54	2.66	10	1	lineage N	N	#b84ccb
4_D4	Bacteroides	160	5170753	44	NA	4240	1	1	GUT_GENOME177137	UHGG	MAG	SAMN04436773	USA	North America	Homo sapiens	faeces	NA	29/04/2011	38.6384	-90.266	160	160	150	124	69	31	5170753	5170753	5134583	4958960	4028364	2695988	160	230664	5170753	43.11	52720	27229	29	64	0	o__Bacteroidales_(UID2657)	97.02	3.31	0	1	lineage N	N	#b84ccb
4_B7	Bacteroides	143	4988565	42	NA	4059	1	1	GUT_GENOME177432	UHGG	MAG	SAMN04436779	USA	North America	Homo sapiens	faeces	NA	07-May-11	38.6386	-90.2662	143	143	129	106	60	32	4988565	4988565	4937525	4779355	3919795	2896719	143	289013	4988565	43.27	57271	31622	25	54	0	o__Bacteroidales_(UID2657)	96.55	2.94	16.67	1	lineage N	N	#b84ccb
DCMOUH0018B	Bacteroides	4	5316784	73	18	4540	1	1	GCA_000724665.3_ASM72466v3_genomic.fna	Genbank	Isolate	SAMN02730071	Denmark	Europe	Homo sapiens	blood	bacterial_infection	10-Oct-11	553958	10.3886	4	4	2	1	1	1	5316784	5316784	5309865	5302644	5302644	5302644	4	5302644	5316784	43.34	5302644	5302644	1	1	0	o__Bacteroidales_(UID2657)	99.26	0.19	0	2	NA	NA	NA
P8C0	Bacteroides	70	4645841	25	NA	3779	NA	NA	GUT_GENOME159614	UHGG	MAG	SAMEA3182052	Canada	North America	Homo sapiens	faeces	NA	21/03/2012	46.8032826	-71.242796	70	70	63	57	44	30	4645841	4645841	4621779	4577266	4377619	3896059	70	555378	4645841	43.32	129058	61299	10	23	0	o__Bacteroidales_(UID2657)	90.58	1.49	25	1	lineage L	L	#0016b4
UBA1684	Bacteroides	38	4591728	41	NA	3757	1	NA	GCA_002320205.1_ASM232020v1_genomic.fna	Genbank	MAG	SAMN06452875	Germany	Europe	Animal	faeces	NA	May-12	53.596582	9.938249	38	38	38	37	35	27	4591728	4591728	4591728	4585662	4558787	4239760	38	530739	4591728	43.26	187021	112379	9	17	19.03	o__Bacteroidales_(UID2657)	92.5	0.19	0	1	lineage M	M	#492f74
5490_ggo	Bacteroides	59	4962841	39	NA	4052	2	3	GUT_GENOME198738	UHGG	MAG	SAMN06328437	USA	North America	Homo sapiens	faeces	NA	27/11/2012	NA	NA	59	59	57	53	47	37	4962841	4962841	4956511	4931174	4824698	4453334	59	269495	4962841	43.32	147356	70780	12	25	0	o__Bacteroidales_(UID2657)	98.21	0.19	0	1	lineage D	D	#c96744
5443_cul	Bacteroides	237	4703687	40	1	3821	NA	3	GUT_GENOME198884	UHGG	MAG	SAMN06328451	USA	North America	Homo sapiens	faeces	NA	09/01/2013	NA	NA	237	237	181	128	63	20	4703687	4703687	4499804	4110315	3026631	1451484	237	196202	4703687	43.04	37582	18595	41	87	0	o__Bacteroidales_(UID2657)	94.2	0.93	0	1	origin	origin	#c9c493
P22E7	Bacteroides	53	5236954	52	1	4342	1	NA	GUT_GENOME158708	UHGG	MAG	SAMEA3182089	Canada	North America	Homo sapiens	faeces	NA	04/02/2013	46.8032826	-71.242796	53	53	45	37	32	25	5236954	5236954	5214046	5156543	5080091	4812764	53	831735	5236954	43.16	230063	131362	7	15	0	o__Bacteroidales_(UID2657)	99.11	0.76	0	1	origin	origin	#c9c493
5362_xgk	Bacteroides	163	4927122	29	1	4059	NA	NA	GUT_GENOME198970	UHGG	MAG	SAMN06328448	USA	North America	Homo sapiens	faeces	NA	13/02/2013	NA	NA	163	163	137	106	57	33	4927122	4927122	4837102	4612431	3802839	2936751	163	201665	4927122	43.19	60933	29898	25	53	0	o__Bacteroidales_(UID2657)	97.68	0.37	0	1	origin	origin	#c9c493
NTBF_JIM10	Bacteroides	81	5247065	67	3	4353	1	NA	GUT_GENOME147634	UHGG	Isolate	SAMN05426807	Russia	Asia	Homo sapiens	faeces	NA	Mar-13	NA	NA	81	51	39	36	31	28	5247065	5238760	5203137	5183366	5109726	4984695	51	436986	5238760	43.43	184948	167219	10	17	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage K	K	#7f74d2
ETBF_BOB25	Bacteroides	1	5282232	71	18	4387	1	NA	GUT_GENOME147632	UHGG	Isolate	SAMN03420872	Russia	Asia	Homo sapiens	faeces	NA	Mar-13	NA	NA	1	1	1	1	1	1	5282232	5282232	5282232	5282232	5282232	5282232	1	5282232	5282232	43.19	5282232	5282232	1	1	0	o__Bacteroidales_(UID2657)	99.26	0.12	0	1	lineage L	L	#0016b4
045_3_9_stool_1	Bacteroides	132	5225160	30	1	4265	1	2	GUT_GENOME189797	UHGG	MAG	SAMN05971521	USA	North America	Homo sapiens	faeces	V. cholera challenge	09-Mar-13	39.28846264	-76.62594594	132	132	123	103	65	38	5225160	5225160	5192463	5057583	4399321	3418165	132	287289	5225160	43.29	66408	37187	25	51	0	o__Bacteroidales_(UID2657)	97.26	1.98	33.33	1	lineage A	A	#cf453f
047_3_10_stool_1	Bacteroides	51	4493509	35	NA	3646	1	1	GUT_GENOME190385	UHGG	MAG	SAMN05971530	USA	North America	Homo sapiens	faeces	V. cholera challenge	10-Mar-13	39.28846264	-76.62594594	51	51	47	43	37	29	4493509	4493509	4480675	4450745	4351797	4072292	51	413955	4493509	43.21	156298	89066	9	18	0	o__Bacteroidales_(UID2657)	92.28	0	0	1	origin	origin	#c9c493
P25C7	Bacteroides	172	4822306	22	NA	3871	NA	1	GUT_GENOME158926	UHGG	MAG	SAMEA3182091	Canada	North America	Homo sapiens	faeces	NA	11/03/2013	46.8032826	-71.242796	172	172	148	119	70	25	4822306	4822306	4745814	4542693	3712842	2021076	172	205316	4822306	43.7	45540	27308	34	67	0	o__Bacteroidales_(UID2657)	90.69	4.28	14.29	1	lineage B	B	#895b39
mickey3_11_7_0	Bacteroides	103	4960612	44	2	4145	2	2	GUT_GENOME020863	UHGG	MAG	SAMEA4545516	Germany	Europe	Homo sapiens	faeces	NA	20/03/2013	49.3988	8.6724	103	103	96	80	59	39	4960612	4960612	4942134	4837352	4482809	3743672	103	203925	4960612	43.31	83904	50521	20	39	0	o__Bacteroidales_(UID2657)	98.53	0.37	50	2	NA	NA	NA
P21E90	Bacteroides	99	5243358	45	1	4312	NA	NA	GUT_GENOME158653	UHGG	MAG	SAMEA3182112	Canada	North America	Homo sapiens	faeces	NA	06/05/2013	46.8032826	-71.242796	99	99	82	72	55	33	5243358	5243358	5191627	5116401	4847303	4011199	99	339851	5243358	43.13	121383	50971	15	32	0	o__Bacteroidales_(UID2657)	94.12	0.74	50	1	origin	origin	#c9c493
TRAVELRES37	Bacteroides	46	4712767	55	NA	3853	1	1	GUT_GENOME009026	UHGG	MAG	SAMEA2784484	Sweden	Europe	Homo sapiens	faeces	NA	23/05/2013	63.818577	20.296611	46	46	41	40	33	26	4712767	4712767	4698401	4692251	4567245	4344803	46	578318	4712767	43.02	182260	103443	7	16	0	o__Bacteroidales_(UID2657)	90.33	0.37	0	1	lineage H	H	#38423f
TRAVELRES9	Bacteroides	104	4675059	37	NA	3777	NA	3	GUT_GENOME011027	UHGG	MAG	SAMEA2784456	Sweden	Europe	Homo sapiens	faeces	NA	23/05/2013	63.818577	20.296611	104	104	94	79	50	33	4675059	4675059	4645357	4538462	4038894	3418553	104	271742	4675059	43.3	87790	48743	17	35	0	o__Bacteroidales_(UID2657)	93.5	0.37	0	1	origin	origin	#c9c493
Sample_008	Bacteroides	239	4963413	58	4	4054	1	NA	GUT_GENOME221643	UHGG	MAG	SAMN05414898	Mongolia	Asia	Homo sapiens	NA	NA	01/06/2013	47.55	106.6	239	239	181	129	68	23	4963413	4963413	4780948	4407009	3388651	1794017	239	137095	4963413	44.12	38289	20540	40	84	0	o__Bacteroidales_(UID2657)	98.88	0.26	0	1	lineage E	E	#baff69
P31	Bacteroides	87	4912181	57	NA	4056	1	2	GUT_GENOME188399	UHGG	MAG	SAMN06051246	USA	North America	Homo sapiens	NA	NA	21/06/2013	39.1031	-84.512	87	87	83	80	59	38	4912181	4912181	4896308	4876104	4505215	3695376	87	190643	4912181	43.51	86602	51392	20	38	0	o__Bacteroidales_(UID2657)	98.29	0	0	1	lineage G	G	#68c668
TF05_31	Bacteroides	43	5062331	63	3	4152	1	1	GUT_GENOME239671	UHGG	Isolate	SAMN09736883	China	Asia	Homo sapiens	faeces	NA	01/08/2013	NA	NA	43	40	32	28	24	20	5062331	5060012	5041066	5009635	4951246	4799644	43	592937	5062331	43.23	336234	185926	6	11	4.03	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage C	C	#d58840
AM13_18	Bacteroides	46	5491309	58	3	4617	1	2	GUT_GENOME001369	UHGG	Isolate	SAMN09734795	China	Asia	Homo sapiens	faeces	NA	01/08/2013	NA	NA	46	36	29	27	25	22	5491309	5484464	5467310	5455420	5430154	5323915	46	967165	5491309	43.42	507211	146638	5	10	8.23	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage Q	Q	#672c41
DCMSKEJBY0001B	Bacteroides	4	5417262	73	18	4543	1	2	GCA_000710365.3_ASM71036v3_genomic.fna	Genbank	Isolate	SAMN02730069	Denmark	Europe	Homo sapiens	blood	bacterial_infection	13-Aug-13	56.1917	10.1722	4	4	4	2	2	2	5417262	5417262	5417262	5403336	5403336	5403336	4	5325251	5417262	43.46	5325251	5325251	1	1	0	o__Bacteroidales_(UID2657)	99.26	0	0	2	NA	NA	NA
AM15_16	Bacteroides	40	5292183	61	3	4426	2	2	GUT_GENOME001391	UHGG	Isolate	SAMN09734817	China	Asia	Homo sapiens	faeces	NA	01/09/2013	NA	NA	40	37	31	26	21	19	5292183	5290128	5278163	5243095	5169597	5079947	40	796128	5292183	43.32	377111	215195	5	9	1.89	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage C	C	#d58840
AM16_16A	Bacteroides	41	5295367	60	3	4424	2	2	GCA_003471925.1_ASM347192v1_genomic.fna	Genbank	Isolate	SAMN09734823	China	Asia	Homo sapiens	faeces	NA	01/09/2013	NA	NA	41	35	31	27	23	21	5295367	5291075	5283456	5254787	5195734	5105685	41	795779	5295367	43.32	343623	185972	6	11	4.15	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage C	C	#d58840
AM17_19	Bacteroides	59	5355248	62	3	4518	1	NA	GUT_GENOME001418	UHGG	Isolate	SAMN09734845	China	Asia	Homo sapiens	faeces	NA	01/09/2013	NA	NA	59	55	50	47	40	35	5355248	5352542	5341595	5318281	5185799	4985803	59	416301	5355248	43.39	172725	92628	11	21	3.17	o__Bacteroidales_(UID2657)	99.26	0	0	2	NA	NA	NA
AM18_6	Bacteroides	106	5646286	60	3	4820	1	3	GUT_GENOME001449	UHGG	Isolate	SAMN09734875	China	Asia	Homo sapiens	faeces	NA	01/09/2013	NA	NA	106	91	78	73	54	41	5646286	5636050	5614456	5578720	5237147	4786422	106	274176	5646286	43.33	116958	78843	18	33	15.71	o__Bacteroidales_(UID2657)	99.26	1.21	25	2	NA	NA	NA
5464_cib	Bacteroides	108	5044369	43	NA	4170	NA	1	GUT_GENOME130690	UHGG	MAG	SAMN06328454	USA	North America	Homo sapiens	faeces	NA	06/09/2013	NA	NA	108	108	95	88	64	37	5044369	5044369	5002440	4948622	4557080	3525075	108	356708	5044369	43.44	70996	45806	21	43	0	o__Bacteroidales_(UID2657)	98.88	1.02	0	2	NA	NA	NA
AF14_14AC	Bacteroides	94	5320718	70	3	4534	1	1	GCA_003465265.1_ASM346526v1_genomic.fna	Genbank	Isolate	SAMN09734247	China	Asia	Homo sapiens	faeces	NA	01/10/2013	NA	NA	94	90	70	62	51	38	5320718	5318274	5265406	5212327	5045523	4593000	94	327598	5320718	43.33	111419	78062	16	30	7.01	o__Bacteroidales_(UID2657)	99.26	0.5	0	2	NA	NA	NA
AF14_26	Bacteroides	56	5323546	63	3	4526	1	1	GUT_GENOME000829	UHGG	Isolate	SAMN09734255	China	Asia	Homo sapiens	faeces	NA	01/10/2013	NA	NA	56	52	43	38	32	28	5323546	5321025	5297101	5264573	5142236	4994269	56	549671	5323546	43.3	224389	132240	8	16	4.23	o__Bacteroidales_(UID2657)	99.26	0.5	0	2	NA	NA	NA
AM26_13LB	Bacteroides	25	5112303	63	3	4216	1	NA	GUT_GENOME001551	UHGG	Isolate	SAMN09736329	China	Asia	Homo sapiens	faeces	NA	01/11/2013	NA	NA	25	20	20	20	18	16	5112303	5108966	5108966	5108966	5082940	5018040	25	1059671	5112303	43.22	566397	192693	4	7	1.96	o__Bacteroidales_(UID2657)	99.26	0.12	0	1	lineage L	L	#0016b4
OM02_9	Bacteroides	40	4990390	63	4	4100	1	1	GUT_GENOME140252	UHGG	Isolate	SAMN09736767	China	Asia	Homo sapiens	faeces	NA	01/11/2013	NA	NA	40	33	27	22	18	17	4990390	4985504	4972967	4944895	4879140	4830912	40	1041720	4990390	43.33	494060	227205	4	8	3.21	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage P	P	#cc4d8e
OM02_11	Bacteroides	61	4987072	61	3	4096	1	1	GCA_003439505.1_ASM343950v1_genomic.fna	Genbank	Isolate	SAMN09736743	China	Asia	Homo sapiens	faeces	appendicitis	01/11/2013	NA	NA	61	43	31	29	24	22	4987072	4975811	4947044	4931488	4851735	4778944	61	1018640	4987072	43.37	327430	132025	5	11	47.9	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage P	P	#cc4d8e
